Occupation code,Occupation title (click on the occupation title to view its profile),Level,Employment,Employment RSE,"Employment per 1,000 jobs",Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE,,,
25-1080,"Education and Library Science Teachers, Postsecondary",broad,65570,0.017,0.453,-4,-4,73800,0.01,,,
25-1081,"Education Teachers, Postsecondary",detail,60930,0.017,0.421,-4,-4,73680,0.011,,,
25-1082,"Library Science Teachers, Postsecondary",detail,4650,0.04,0.032,-4,-4,75450,0.009,,,
25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",broad,44500,0.028,0.307,-4,-4,96110,0.016,,,
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detail,14890,0.039,0.103,-4,-4,72390,0.016,,,
25-1112,"Law Teachers, Postsecondary",detail,16990,0.045,0.117,-4,-4,130710,0.02,,,
25-1113,"Social Work Teachers, Postsecondary",detail,12620,0.037,0.087,-4,-4,77520,0.019,,,
25-1120,"Arts, Communications, and Humanities Teachers, Postsecondary",broad,260960,0.014,1.803,-4,-4,80670,0.009,,,
25-1121,"Art, Drama, and Music Teachers, Postsecondary",detail,94310,0.021,0.652,-4,-4,82560,0.013,,,
25-1122,"Communications Teachers, Postsecondary",detail,29100,0.018,0.201,-4,-4,78090,0.012,,,
25-1123,"English Language and Literature Teachers, Postsecondary",detail,68360,0.015,0.472,-4,-4,78150,0.01,,,
25-1124,"Foreign Language and Literature Teachers, Postsecondary",detail,25590,0.022,0.177,-4,-4,79160,0.011,,,
25-1125,"History Teachers, Postsecondary",detail,20510,0.017,0.142,-4,-4,83990,0.01,,,
25-1126,"Philosophy and Religion Teachers, Postsecondary",detail,23100,0.032,0.16,-4,-4,82420,0.013,,,
25-1190,Miscellaneous Postsecondary Teachers,broad,444210,0.016,3.069,-4,-4,60200,0.014,,,
25-1191,Graduate Teaching Assistants,detail,131490,0.033,0.908,-4,-4,36390,0.02,,,
25-1192,"Home Economics Teachers, Postsecondary",detail,2080,0.05,0.014,-4,-4,77170,0.023,,,
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",detail,16490,0.019,0.114,-4,-4,72190,0.015,,,
25-1194,"Vocational Education Teachers, Postsecondary",detail,110400,0.017,0.763,25.54,28.14,58520,0.007,,,
25-1199,"Postsecondary Teachers, All Other",detail,183750,0.034,1.27,-4,-4,76990,0.016,,,
25-2000,"Preschool, Primary, Secondary, and Special Education School Teachers",minor,4193290,0.006,28.973,-4,-4,59980,0.006,,,
25-2010,Preschool and Kindergarten Teachers,broad,555680,0.011,3.839,16.33,19.26,40070,0.01,,,
25-2011,"Preschool Teachers, Except Special Education",detail,424520,0.013,2.933,14.32,16.54,34410,0.015,,,
25-2012,"Kindergarten Teachers, Except Special Education",detail,131160,0.017,0.906,-4,-4,58370,0.007,,,
25-2020,Elementary and Middle School Teachers,broad,2032880,0.006,14.046,-4,-4,62150,0.006,,,
25-2021,"Elementary School Teachers, Except Special Education",detail,1410970,0.008,9.749,-4,-4,62200,0.007,,,
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detail,609970,0.014,4.214,-4,-4,62030,0.006,,,
25-2023,"Career/Technical Education Teachers, Middle School",detail,11940,0.079,0.083,-4,-4,62570,0.015,,,
25-2030,Secondary School Teachers,broad,1129040,0.013,7.801,-4,-4,64230,0.005,,,
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detail,1051570,0.012,7.266,-4,-4,64340,0.005,,,
25-2032,"Career/Technical Education Teachers, Secondary School",detail,77460,0.039,0.535,-4,-4,62810,0.007,,,
25-2050,Special Education Teachers,broad,475700,0.01,3.287,-4,-4,63890,0.009,,,
25-2051,"Special Education Teachers, Preschool",detail,23480,0.045,0.162,-4,-4,61610,0.025,,,
25-2052,"Special Education Teachers, Kindergarten and Elementary School",detail,185190,0.013,1.28,-4,-4,63110,0.009,,,
25-2053,"Special Education Teachers, Middle School",detail,87870,0.022,0.607,-4,-4,64390,0.012,,,
25-2054,"Special Education Teachers, Secondary School",detail,142360,0.016,0.984,-4,-4,65320,0.01,,,
25-2059,"Special Education Teachers, All Other",detail,36800,0.038,0.254,-4,-4,62500,0.02,,,
25-3000,Other Teachers and Instructors,minor,1203570,0.01,8.316,15.89,19.35,40250,0.007,,,
25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,detail,57750,0.074,0.399,25.79,27.94,58110,0.015,,,
25-3021,Self-Enrichment Education Teachers,detail,243080,0.015,1.68,18.62,21.62,44960,0.008,,,
25-3090,Miscellaneous Teachers and Instructors,broad,902740,0.011,6.237,14.83,18.19,37840,0.009,,,
25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",detail,315510,0.015,2.18,-4,-4,48040,0.012,,,
25-3098,Substitute Teachers,detail,587240,0.015,4.057,13.79,15.56,32360,0.013,,,
25-4000,"Librarians, Curators, and Archivists",minor,246200,0.01,1.701,23.08,24.66,51290,0.005,,,
25-4010,"Archivists, Curators, and Museum Technicians",broad,31760,0.024,0.219,23.27,25.61,53280,0.009,,,
25-4011,Archivists,detail,6370,0.051,0.044,25.11,27.12,56400,0.015,,,
25-4012,Curators,detail,12280,0.034,0.085,25.86,28.12,58490,0.011,,,
25-4013,Museum Technicians and Conservators,detail,13100,0.033,0.091,20.68,22.53,46870,0.014,,,
25-4021,Librarians,detail,125750,0.01,0.869,28.39,29.58,61530,0.004,,,
25-4031,Library Technicians,detail,88690,0.015,0.613,16.37,17.34,36080,0.006,,,
25-9000,"Other Education, Training, and Library Occupations",minor,1619610,0.005,11.19,-4,-4,34110,0.004,,,
25-9011,Audio-Visual and Multimedia Collections Specialists,detail,9540,0.026,0.066,23.85,25.13,52270,0.01,,,
25-9021,Farm and Home Management Advisors,detail,8020,0.057,0.055,23.96,25.33,52700,0.016,,,
25-9031,Instructional Coordinators,detail,163900,0.017,1.132,30.98,32.45,67490,0.005,,,
25-9041,Teacher Assistants,detail,1331560,0.006,9.2,-4,-4,28750,0.004,,,
25-9099,"Education, Training, and Library Workers, All Other",detail,106590,0.017,0.736,20.23,22.44,46680,0.015,,,
27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,1951170,0.005,13.481,23.7,28.74,59780,0.005,,,
27-1000,Art and Design Workers,minor,610180,0.008,4.216,22.43,26.55,55230,0.006,,,
27-1010,Artists and Related Workers,broad,90990,0.02,0.629,36.34,40.83,84930,0.009,,,
27-1011,Art Directors,detail,40210,0.022,0.278,44.6,50.29,104590,0.008,,,
27-1012,Craft Artists,detail,3980,0.083,0.027,16.46,19.47,40490,0.023,,,
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",detail,11620,0.056,0.08,23.74,28.06,58370,0.054,,,
27-1014,Multimedia Artists and Animators,detail,28560,0.039,0.197,34.87,37.61,78230,0.013,,,
27-1019,"Artists and Related Workers, All Other",detail,6620,0.069,0.046,31.44,32.55,67700,0.036,,,
27-1020,Designers,broad,519180,0.009,3.587,20.66,24.05,50020,0.005,,,
27-1021,Commercial and Industrial Designers,detail,33200,0.031,0.229,32.01,34.34,71430,0.009,,,
27-1022,Fashion Designers,detail,19750,0.041,0.136,34.96,42.12,87610,0.026,,,
27-1023,Floral Designers,detail,43360,0.023,0.3,13.08,13.9,28900,0.007,,,
27-1024,Graphic Designers,detail,217810,0.009,1.505,24.21,26.29,54680,0.004,,,
27-1025,Interior Designers,detail,57070,0.024,0.394,25.66,28.42,59120,0.012,,,
27-1026,Merchandise Displayers and Window Trimmers,detail,128960,0.029,0.891,13.68,15.31,31850,0.008,,,
27-1027,Set and Exhibit Designers,detail,10590,0.045,0.073,26.09,29.34,61020,0.018,,,
27-1029,"Designers, All Other",detail,8450,0.051,0.058,29.12,32.99,68610,0.024,,,
27-2000,"Entertainers and Performers, Sports and Related Workers",minor,515310,0.012,3.56,20.64,28.8,59900,0.01,,,
27-2010,"Actors, Producers, and Directors",broad,166060,0.022,1.147,29.4,39.24,81610,0.014,,,
27-2011,Actors,detail,47430,0.071,0.328,17.54,29.34,-4,0.041,,,
27-2012,Producers and Directors,detail,118630,0.017,0.82,34.46,43.19,89840,0.012,,,
27-2020,"Athletes, Coaches, Umpires, and Related Workers",broad,266860,0.014,1.844,-4,-4,45080,0.01,,,
27-2021,Athletes and Sports Competitors,detail,10800,0.068,0.075,-4,-4,87030,0.046,,,
27-2022,Coaches and Scouts,detail,236970,0.015,1.637,-4,-4,43870,0.008,,,
27-2023,"Umpires, Referees, and Other Sports Officials",detail,19090,0.031,0.132,-4,-4,36440,0.042,,,
27-2030,Dancers and Choreographers,broad,14810,0.059,0.102,18.17,22.44,46670,0.026,,,
27-2031,Dancers,detail,9720,0.074,0.067,16.31,20.7,-4,0.03,,,
27-2032,Choreographers,detail,5090,0.096,0.035,22.98,25.75,53560,0.036,,,
27-2040,"Musicians, Singers, and Related Workers",broad,53840,0.028,0.372,26.84,35.53,-4,0.023,,,
27-2041,Music Directors and Composers,detail,12160,0.041,0.084,23.86,28.75,59790,0.028,,,
27-2042,Musicians and Singers,detail,41680,0.034,0.288,28.15,37.51,-4,0.025,,,
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",detail,13740,0.093,0.095,15.94,21.53,-4,0.05,,,
27-3000,Media and Communication Workers,minor,586190,0.007,4.05,27.66,31.72,65980,0.004,,,
27-3010,Announcers,broad,35260,0.028,0.244,15.38,23.54,48960,0.018,,,
27-3011,Radio and Television Announcers,detail,27780,0.032,0.192,15.97,24.82,51630,0.02,,,
27-3012,Public Address System and Other Announcers,detail,7480,0.062,0.052,13.33,18.77,39040,0.035,,,
27-3020,"News Analysts, Reporters and Correspondents",broad,43030,0.025,0.297,20.91,29.1,60530,0.015,,,
27-3021,Broadcast News Analysts,detail,5890,0.089,0.041,32.15,44.23,91990,0.031,,,
27-3022,Reporters and Correspondents,detail,37140,0.024,0.257,19.84,26.7,55530,0.015,,,
27-3031,Public Relations Specialists,detail,239030,0.01,1.652,28.85,32.9,68440,0.006,,,
27-3040,Writers and Editors,broad,191320,0.011,1.322,30.53,34.58,71920,0.006,,,
27-3041,Editors,detail,95750,0.016,0.662,28.6,33.41,69480,0.008,,,
27-3042,Technical Writers,detail,50350,0.019,0.348,34.54,36.3,75500,0.007,,,
27-3043,Writers and Authors,detail,45210,0.021,0.312,29.89,35.14,73090,0.013,,,
27-3090,Miscellaneous Media and Communication Workers,broad,77560,0.031,0.536,23.84,26.2,54490,0.011,,,
27-3091,Interpreters and Translators,detail,57140,0.039,0.395,24,26.55,55230,0.014,,,
27-3099,"Media and Communication Workers, All Other",detail,20420,0.044,0.141,23.24,25.21,52430,0.022,,,
27-4000,Media and Communication Equipment Workers,minor,239490,0.015,1.655,22.24,26.91,55970,0.015,,,
27-4010,Broadcast and Sound Engineering Technicians and Radio Operators,broad,121890,0.021,0.842,20.98,24.02,49960,0.008,,,
27-4011,Audio and Video Equipment Technicians,detail,75940,0.022,0.525,21.04,23.53,48940,0.009,,,
27-4012,Broadcast Technicians,detail,31580,0.044,0.218,19.27,22.48,46770,0.013,,,
27-4013,Radio Operators,detail,870,0.076,0.006,20.3,21.49,44710,0.028,,,
27-4014,Sound Engineering Technicians,detail,13510,0.057,0.093,25.19,30.53,63500,0.021,,,
27-4021,Photographers,detail,49560,0.019,0.342,16.35,20.56,42770,0.015,,,
27-4030,"Television, Video, and Motion Picture Camera Operators and Editors",broad,49240,0.028,0.34,28.36,36.58,76090,0.027,,,
27-4031,"Camera Operators, Television, Video, and Motion Picture",detail,21080,0.033,0.146,26.24,29.69,61750,0.02,,,
27-4032,Film and Video Editors,detail,28160,0.044,0.195,30.12,41.75,86830,0.037,,,
27-4099,"Media and Communication Equipment Workers, All Other",detail,18790,0.054,0.13,38.26,37.06,77080,0.016,,,
29-0000,Healthcare Practitioners and Technical Occupations,major,8646730,0.003,59.743,31.94,39.42,82000,0.002,,,
29-1000,Health Diagnosing and Treating Practitioners,minor,5367930,0.004,37.088,38.94,49.02,101960,0.003,,,
29-1011,Chiropractors,detail,34740,0.026,0.24,34.33,41.28,85870,0.02,,,
29-1020,Dentists,broad,128060,0.018,0.885,75.12,86.82,180590,0.011,,,
29-1021,"Dentists, General",detail,113000,0.02,0.781,73,84.54,175840,0.012,,,
29-1022,Oral and Maxillofacial Surgeons,detail,4830,0.091,0.033,-5,116.52,242370,0.041,,,
29-1023,Orthodontists,detail,5350,0.09,0.037,-5,108.54,225760,0.041,,,
29-1024,Prosthodontists,detail,380,0.283,0.003,84.88,92.02,191400,0.121,,,
29-1029,"Dentists, All Other Specialists",detail,4490,0.108,0.031,70.66,85.96,178800,0.047,,,
29-1031,Dietitians and Nutritionists,detail,64670,0.012,0.447,29.02,29.43,61210,0.003,,,
29-1041,Optometrists,detail,37220,0.025,0.257,53.75,57.68,119980,0.011,,,
29-1051,Pharmacists,detail,309550,0.011,2.139,60.64,59.45,123670,0.003,,,
29-1060,Physicians and Surgeons,broad,679280,0.01,4.693,-5,101.43,210980,0.007,,,
29-1061,Anesthesiologists,detail,31060,0.056,0.215,-5,128.38,267020,0.018,,,
29-1062,Family and General Practitioners,detail,114130,0.019,0.789,96.68,101.82,211780,0.01,,,
29-1063,"Internists, General",detail,37820,0.032,0.261,93.51,94.47,196490,0.028,,,
29-1064,Obstetricians and Gynecologists,detail,18590,0.04,0.128,-5,114.58,238320,0.015,,,
29-1065,"Pediatricians, General",detail,28490,0.036,0.197,82,88.1,183240,0.015,,,
29-1066,Psychiatrists,detail,25630,0.039,0.177,-5,105.95,220380,0.018,,,
29-1067,Surgeons,detail,34390,0.038,0.238,-5,122.65,255110,0.015,,,
29-1069,"Physicians and Surgeons, All Other",detail,389180,0.014,2.689,96.58,98.02,203880,0.009,,,
29-1071,Physician Assistants,detail,114710,0.014,0.793,52.22,52.13,108430,0.004,,,
29-1081,Podiatrists,detail,9500,0.038,0.066,62.28,71.26,148220,0.02,,,
29-1120,Therapists,broad,687790,0.007,4.752,37.23,38.24,79530,0.002,,,
29-1122,Occupational Therapists,detail,126900,0.013,0.877,40.51,41.04,85350,0.003,,,
29-1123,Physical Therapists,detail,228600,0.01,1.579,42.27,42.73,88880,0.003,,,
29-1124,Radiation Therapists,detail,18260,0.028,0.126,39.58,41.7,86730,0.006,,,
29-1125,Recreational Therapists,detail,18840,0.025,0.13,23.01,24.34,50640,0.008,,,
29-1126,Respiratory Therapists,detail,129600,0.011,0.895,28.98,30.05,62500,0.003,,,
29-1127,Speech-Language Pathologists,detail,146900,0.013,1.015,37.26,38.8,80700,0.006,,,
29-1128,Exercise Physiologists,detail,6740,0.042,0.047,23.69,26.33,54760,0.027,,,
29-1129,"Therapists, All Other",detail,11950,0.053,0.083,24.51,27.73,57680,0.019,,,
29-1131,Veterinarians,detail,71060,0.014,0.491,45.11,50.59,105240,0.012,,,
29-1141,Registered Nurses,detail,2951960,0.005,20.396,34.48,36.3,75510,0.003,,,
29-1151,Nurse Anesthetists,detail,43520,0.037,0.301,80.75,84.03,174790,0.009,,,
29-1161,Nurse Midwives,detail,6250,0.063,0.043,49.89,51.4,106910,0.012,,,
29-1171,Nurse Practitioners,detail,179650,0.012,1.241,51.46,52.9,110030,0.004,,,
29-1181,Audiologists,detail,13300,0.045,0.092,36.5,39.52,82210,0.018,,,
29-1199,"Health Diagnosing and Treating Practitioners, All Other",detail,36680,0.023,0.253,35.56,41.16,85600,0.044,,,
29-2000,Health Technologists and Technicians,minor,3110180,0.003,21.489,21.49,23.26,48380,0.002,,,
29-2010,Clinical Laboratory Technologists and Technicians,broad,321220,0.01,2.219,25.16,25.91,53880,0.003,,,
29-2021,Dental Hygienists,detail,215150,0.012,1.487,35.97,36.3,75500,0.005,,,
29-2030,Diagnostic Related Technologists and Technicians,broad,390630,0.008,2.699,30.6,31.38,65260,0.002,,,
29-2031,Cardiovascular Technologists and Technicians,detail,56560,0.015,0.391,27.33,28.24,58730,0.005,,,
29-2032,Diagnostic Medical Sonographers,detail,71130,0.012,0.491,34.86,35.51,73860,0.003,,,
29-2033,Nuclear Medicine Technologists,detail,18810,0.014,0.13,36.93,37.92,78870,0.004,,,
29-2034,Radiologic Technologists,detail,205590,0.009,1.42,28.62,29.59,61540,0.003,,,
29-2035,Magnetic Resonance Imaging Technologists,detail,38540,0.021,0.266,34.46,34.73,72230,0.004,,,
29-2041,Emergency Medical Technicians and Paramedics,detail,257210,0.011,1.777,16.5,18.15,37760,0.008,,,
29-2050,Health Practitioner Support Technologists and Technicians,broad,801590,0.006,5.538,16.7,17.76,36930,0.003,,,
29-2051,Dietetic Technicians,detail,33540,0.027,0.232,13.05,14.49,30130,0.007,,,
29-2052,Pharmacy Technicians,detail,417860,0.008,2.887,15.72,16.35,34020,0.003,,,
29-2053,Psychiatric Technicians,detail,71360,0.015,0.493,15.8,18.15,37760,0.016,,,
29-2054,Respiratory Therapy Technicians,detail,9090,0.033,0.063,24.62,24.7,51380,0.009,,,
29-2055,Surgical Technologists,detail,110160,0.011,0.761,22.74,23.58,49040,0.003,,,
29-2056,Veterinary Technologists and Technicians,detail,106680,0.018,0.737,16.55,17.1,35560,0.005,,,
29-2057,Ophthalmic Medical Technicians,detail,52890,0.03,0.365,17.56,18.38,38220,0.007,,,
29-2061,Licensed Practical and Licensed Vocational Nurses,detail,701690,0.007,4.848,22.23,22.62,47050,0.002,,,
29-2071,Medical Records and Health Information Technicians,detail,208650,0.01,1.442,19.4,21.16,44010,0.004,,,
29-2081,"Opticians, Dispensing",detail,72250,0.022,0.499,17.8,19.2,39930,0.01,,,
29-2090,Miscellaneous Health Technologists and Technicians,broad,141790,0.015,0.98,21.43,23.82,49540,0.005,,,
29-2091,Orthotists and Prosthetists,detail,8830,0.047,0.061,33.23,35.51,73860,0.02,,,
29-2092,Hearing Aid Specialists,detail,7680,0.068,0.053,25.37,26.75,55650,0.022,,,
29-2099,"Health Technologists and Technicians, All Other",detail,125270,0.016,0.866,20.63,22.81,47450,0.005,,,
29-9000,Other Healthcare Practitioners and Technical Occupations,minor,168630,0.009,1.165,30.01,32.01,66590,0.003,,,
29-9010,Occupational Health and Safety Specialists and Technicians,broad,106410,0.009,0.735,33.35,34.43,71610,0.003,,,
29-9011,Occupational Health and Safety Specialists,detail,88390,0.01,0.611,35.11,36.03,74940,0.003,,,
29-9012,Occupational Health and Safety Technicians,detail,18020,0.019,0.125,24.41,26.57,55270,0.007,,,
29-9090,Miscellaneous Health Practitioners and Technical Workers,broad,62210,0.017,0.43,24.35,27.89,58000,0.01,,,
29-9091,Athletic Trainers,detail,26890,0.029,0.186,-4,-4,49280,0.008,,,
29-9092,Genetic Counselors,detail,2640,0.074,0.018,38.64,38.88,80860,0.016,,,
29-9099,"Healthcare Practitioners and Technical Workers, All Other",detail,32680,0.022,0.226,26.26,30.45,63340,0.015,,,
31-0000,Healthcare Support Occupations,major,4117450,0.004,28.449,14.3,15.57,32380,0.002,,,
31-1010,"Nursing, Psychiatric, and Home Health Aides",broad,2355640,0.006,16.276,12.89,13.55,28180,0.003,,,
31-1011,Home Health Aides,detail,797670,0.014,5.511,11.63,12.18,25330,0.004,,,
31-1013,Psychiatric Aides,detail,56910,0.02,0.393,14.03,14.95,31090,0.01,,,
31-1014,Nursing Assistants,detail,1450960,0.005,10.025,13.72,14.22,29580,0.002,,,
31-1015,Orderlies,detail,50100,0.022,0.346,13.49,14.35,29840,0.006,,,
31-2000,Occupational Therapy and Physical Therapist Assistants and Aides,minor,191870,0.013,1.326,24.86,24.1,50130,0.005,,,
31-2010,Occupational Therapy Assistants and Aides,broad,50360,0.022,0.348,27.7,27,56150,0.01,,,
31-2011,Occupational Therapy Assistants,detail,42660,0.022,0.295,28.95,29.04,60410,0.006,,,
31-2012,Occupational Therapy Aides,detail,7700,0.06,0.053,13.54,15.66,32580,0.04,,,
31-2020,Physical Therapist Assistants and Aides,broad,141510,0.013,0.978,23.12,23.07,47980,0.005,,,
31-2021,Physical Therapist Assistants,detail,94250,0.014,0.651,27.91,27.77,57750,0.005,,,
31-2022,Physical Therapist Aides,detail,47260,0.024,0.327,12.62,13.7,28500,0.008,,,
31-9000,Other Healthcare Support Occupations,minor,1569940,0.005,10.847,16.75,17.55,36500,0.002,,,
31-9011,Massage Therapists,detail,105160,0.029,0.727,19.92,22.06,45880,0.012,,,
31-9090,Miscellaneous Healthcare Support Occupations,broad,1464780,0.005,10.121,16.63,17.23,35830,0.002,,,
31-9091,Dental Assistants,detail,341060,0.009,2.356,18.59,19.12,39770,0.004,,,
31-9092,Medical Assistants,detail,673660,0.007,4.655,16.16,16.61,34540,0.002,,,
31-9093,Medical Equipment Preparers,detail,55610,0.016,0.384,17.42,18.27,37990,0.004,,,
31-9094,Medical Transcriptionists,detail,53730,0.031,0.371,16.72,17.48,36350,0.013,,,
31-9095,Pharmacy Aides,detail,36970,0.042,0.255,12.72,14.03,29190,0.012,,,
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,detail,89480,0.022,0.618,13.24,13.79,28690,0.006,,,
31-9097,Phlebotomists,detail,125280,0.014,0.866,16.58,17.1,35560,0.003,,,
31-9099,"Healthcare Support Workers, All Other",detail,88990,0.017,0.615,18.19,18.8,39110,0.006,,,
33-0000,Protective Service Occupations,major,3437410,0.004,23.75,19.54,23.36,48580,0.006,,,
33-1000,Supervisors of Protective Service Workers,minor,304940,0.006,2.107,33.92,36.72,76380,0.007,,,
33-1010,First-Line Supervisors of Law Enforcement Workers,broad,160410,0.004,1.108,39.35,41.51,86350,0.007,,,
33-1011,First-Line Supervisors of Correctional Officers,detail,43760,0.005,0.302,30.45,32.86,68350,0.007,,,
33-1012,First-Line Supervisors of Police and Detectives,detail,116660,0.005,0.806,42.8,44.76,93100,0.006,,,
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,detail,65920,0.009,0.455,36.7,38.61,80310,0.007,,,
33-1099,"First-Line Supervisors of Protective Service Workers, All Other",detail,78610,0.02,0.543,23.87,25.35,52730,0.009,,,
33-2000,Fire Fighting and Prevention Workers,minor,336230,0.009,2.323,24.04,25.78,53630,0.009,,,
33-2011,Firefighters,detail,321570,0.009,2.222,23.85,25.6,53240,0.009,,,
33-2020,Fire Inspectors,broad,14660,0.029,0.101,28.94,29.82,62030,0.011,,,
33-2021,Fire Inspectors and Investigators,detail,12530,0.034,0.087,30.05,30.84,64140,0.012,,,
33-2022,Forest Fire Inspectors and Prevention Specialists,detail,2130,0.019,0.015,19.04,23.85,49610,0.013,,,
33-3000,Law Enforcement Workers,minor,1217260,0.004,8.41,26.81,29.42,61190,0.007,,,
33-3010,"Bailiffs, Correctional Officers, and Jailers",broad,433900,0.005,2.998,21.35,23.71,49320,0.007,,,
33-3011,Bailiffs,detail,18900,0.012,0.131,22,23.97,49870,0.014,,,
33-3012,Correctional Officers and Jailers,detail,415000,0.005,2.867,21.31,23.7,49300,0.007,,,
33-3021,Detectives and Criminal Investigators,detail,103450,0.004,0.715,39.38,40.88,85020,0.005,,,
33-3031,Fish and Game Wardens,detail,6040,0.027,0.042,27.75,28.49,59260,0.008,,,
33-3041,Parking Enforcement Workers,detail,8070,0.019,0.056,19.15,20.29,42200,0.015,,,
33-3050,Police Officers,broad,665800,0.005,4.6,29.56,31.47,65460,0.008,,,
33-3051,Police and Sheriff's Patrol Officers,detail,661330,0.005,4.569,29.51,31.44,65400,0.008,,,
33-3052,Transit and Railroad Police,detail,4470,0.057,0.031,35.59,35.79,74450,0.018,,,
33-9000,Other Protective Service Workers,minor,1578980,0.007,10.91,13.76,15.59,32430,0.004,,,
33-9011,Animal Control Workers,detail,12080,0.013,0.083,17.47,18.51,38490,0.006,,,
33-9021,Private Detectives and Investigators,detail,30990,0.07,0.214,24.08,27.31,56810,0.042,,,
33-9030,Security Guards and Gaming Surveillance Officers,broad,1124610,0.009,7.77,13.72,15.43,32090,0.005,,,
33-9031,Gaming Surveillance Officers and Gaming Investigators,detail,10230,0.042,0.071,15.71,17.41,36200,0.012,,,
33-9032,Security Guards,detail,1114380,0.009,7.7,13.7,15.41,32050,0.005,,,
33-9090,Miscellaneous Protective Service Workers,broad,411300,0.011,2.842,13.22,15.06,31330,0.006,,,
33-9091,Crossing Guards,detail,79880,0.026,0.552,13.92,15.37,31970,0.011,,,
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detail,144370,0.016,0.997,10.77,11.74,24420,0.009,,,
33-9093,Transportation Security Screeners,detail,45250,0.003,0.313,19.95,20.13,41860,0.006,,,
33-9099,"Protective Service Workers, All Other",detail,141790,0.021,0.98,14.77,16.66,34650,0.008,,,
35-0000,Food Preparation and Serving Related Occupations,major,13374620,0.001,92.409,11.09,12.3,25580,0.002,,,
35-1010,Supervisors of Food Preparation and Serving Workers,broad,1093000,0.006,7.552,16.3,18.3,38070,0.003,,,
35-1011,Chefs and Head Cooks,detail,128600,0.029,0.889,23.3,25.08,52160,0.011,,,
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,detail,964400,0.006,6.663,15.6,17.4,36190,0.003,,,
35-2000,Cooks and Food Preparation Workers,minor,3218110,0.005,22.235,11.91,12.56,26120,0.002,,,
35-2010,Cooks,broad,2403510,0.005,16.606,12.12,12.77,26560,0.002,,,
35-2011,"Cooks, Fast Food",detail,487510,0.018,3.368,10.74,10.89,22650,0.004,,,
35-2012,"Cooks, Institution and Cafeteria",detail,400320,0.007,2.766,12.91,13.6,28290,0.003,,,
35-2013,"Cooks, Private Household",detail,460,0.246,0.003,18.07,19.83,41240,0.024,,,
35-2014,"Cooks, Restaurant",detail,1340810,0.007,9.264,12.76,13.26,27580,0.003,,,
35-2015,"Cooks, Short Order",detail,155840,0.032,1.077,11.44,12.09,25140,0.008,,,
35-2019,"Cooks, All Other",detail,18570,0.059,0.128,13.78,14.6,30360,0.014,,,
35-2021,Food Preparation Workers,detail,814600,0.012,5.628,11.41,11.94,24830,0.004,,,
35-3000,Food and Beverage Serving Workers,minor,7630110,0.003,52.718,10.43,11.51,23940,0.002,,,
35-3011,Bartenders,detail,631480,0.009,4.363,10.84,12.88,26780,0.005,,,
35-3020,Fast Food and Counter Workers,broad,4150030,0.005,28.674,10.32,10.7,22260,0.002,,,
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",detail,3676180,0.006,25.4,10.22,10.64,22140,0.002,,,
35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",detail,473860,0.022,3.274,10.74,11.17,23240,0.004,,,
35-3031,Waiters and Waitresses,detail,2582410,0.005,17.843,10.47,12.42,25830,0.004,,,
35-3041,"Food Servers, Nonrestaurant",detail,266190,0.015,1.839,11.2,12.01,24980,0.004,,,
35-9000,Other Food Preparation and Serving Related Workers,minor,1433400,0.007,9.904,10.81,11.32,23540,0.003,,,
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,detail,455700,0.013,3.149,10.71,11.52,23950,0.005,,,
35-9021,Dishwashers,detail,504770,0.01,3.488,10.93,11.15,23190,0.003,,,
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detail,416950,0.012,2.881,10.65,11.18,23260,0.004,,,
35-9099,"Food Preparation and Serving Related Workers, All Other",detail,55980,0.044,0.387,11.47,12.23,25430,0.01,,,
37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,4421980,0.003,30.553,12.91,14.43,30020,0.002,,,
37-1010,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,broad,255580,0.009,1.766,20.82,22.3,46380,0.004,,,
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,detail,154180,0.01,1.065,19.2,20.75,43150,0.005,,,
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",detail,101390,0.015,0.701,23.18,24.66,51280,0.005,,,
