occ_code,occ_title,tot_emp,h_median,a_median
43-4051,Customer Service Representatives," 2,389,580 ",14.84," 30,870 "
43-4061,"Eligibility Interviewers, Government Programs"," 123,920 ",20.15," 41,900 "
43-4071,File Clerks," 152,920 ",12.89," 26,810 "
43-4081,"Hotel, Motel, and Resort Desk Clerks"," 234,750 ",9.81," 20,400 "
43-4111,"Interviewers, Except Eligibility and Loan"," 192,360 ",14.56," 30,270 "
43-4121,"Library Assistants, Clerical"," 101,990 ",11.37," 23,660 "
43-4131,Loan Interviewers and Clerks," 213,270 ",17.33," 36,050 "
43-4141,New Accounts Clerks," 56,990 ",15.96," 33,190 "
43-4151,Order Clerks," 200,210 ",14.48," 30,110 "
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping"," 136,960 ",18.12," 37,680 "
43-4171,Receptionists and Information Clerks," 973,580 ",12.70," 26,410 "
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks," 141,900 ",16.34," 33,990 "
43-5011,Cargo and Freight Agents," 73,760 ",19.35," 40,250 "
43-5021,Couriers and Messengers," 74,060 ",12.61," 26,230 "
43-5031,"Police, Fire, and Ambulance Dispatchers"," 96,860 ",17.81," 37,040 "
43-5032,"Dispatchers, Except Police, Fire, and Ambulance"," 185,270 ",17.50," 36,390 "
43-5041,"Meter Readers, Utilities"," 37,950 ",17.51," 36,410 "
43-5051,Postal Service Clerks," 71,910 ",25.88," 53,840 "
43-5052,Postal Service Mail Carriers," 307,490 ",27.16," 56,490 "
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"," 121,580 ",25.88," 53,830 "
43-5061,"Production, Planning, and Expediting Clerks"," 281,930 ",21.46," 44,630 "
43-5071,"Shipping, Receiving, and Traffic Clerks"," 677,450 ",14.10," 29,320 "
43-5081,Stock Clerks and Order Fillers," 1,800,410 ",10.81," 22,480 "
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"," 69,990 ",13.64," 28,370 "
43-6011,Executive Secretaries and Executive Administrative Assistants," 755,210 ",23.70," 49,290 "
43-6012,Legal Secretaries," 220,680 ",20.38," 42,390 "
43-6013,Medical Secretaries," 512,970 ",15.33," 31,890 "
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"," 2,159,000 ",15.79," 32,840 "
43-9011,Computer Operators," 67,450 ",18.69," 38,870 "
43-9021,Data Entry Keyers," 207,660 ",13.69," 28,470 "
43-9022,Word Processors and Typists," 88,200 ",17.32," 36,020 "
43-9031,Desktop Publishers," 14,360 ",18.20," 37,850 "
43-9041,Insurance Claims and Policy Processing Clerks," 236,160 ",17.42," 36,230 "
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service"," 99,140 ",13.20," 27,450 "
43-9061,"Office Clerks, General"," 2,832,010 ",13.49," 28,050 "
43-9071,"Office Machine Operators, Except Computer"," 66,840 ",13.51," 28,100 "
43-9081,Proofreaders and Copy Markers," 11,260 ",15.93," 33,130 "
43-9111,Statistical Assistants," 15,640 ",19.92," 41,430 "
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"," 18,540 ",20.90," 43,480 "
45-2011,Agricultural Inspectors," 13,740 ",20.52," 42,680 "
45-2021,Animal Breeders," 1,240 ",18.24," 37,950 "
45-2041,"Graders and Sorters, Agricultural Products"," 38,120 ",9.24," 19,220 "
45-2090,Miscellaneous Agricultural Workers," 320,250 ",9.11," 18,940 "
45-3011,Fishers and Related Fishing Workers, 480 ,16.96," 35,270 "
45-3021,Hunters and Trappers," 99,999 ",15.91," 33,100 "
45-4011,Forest and Conservation Workers," 6,940 ",12.39," 25,770 "
45-4021,Fallers," 5,790 ",16.60," 34,530 "
45-4022,Logging Equipment Operators," 24,490 ",16.39," 34,080 "
45-4023,Log Graders and Scalers," 2,780 ",15.90," 33,070 "
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers," 467,130 ",29.03," 60,380 "
47-2011,Boilermakers," 15,950 ",27.74," 57,690 "
47-2021,Brickmasons and Blockmasons," 58,730 ",22.41," 46,610 "
47-2022,Stonemasons," 10,410 ",17.54," 36,480 "
47-2031,Carpenters," 580,570 ",19.47," 40,500 "
47-2041,Carpet Installers," 24,640 ",17.19," 35,760 "
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles"," 10,020 ",17.27," 35,930 "
47-2043,Floor Sanders and Finishers," 4,200 ",16.94," 35,240 "
47-2044,Tile and Marble Setters," 30,090 ",18.06," 37,570 "
47-2051,Cement Masons and Concrete Finishers," 141,910 ",17.37," 36,130 "
47-2053,Terrazzo Workers and Finishers," 3,220 ",18.80," 39,100 "
47-2061,Construction Laborers," 824,970 ",14.64," 30,460 "
47-2071,"Paving, Surfacing, and Tamping Equipment Operators"," 55,720 ",18.16," 37,780 "
47-2072,Pile-Driver Operators," 3,620 ",23.91," 49,730 "
47-2073,Operating Engineers and Other Construction Equipment Operators," 340,950 ",20.45," 42,540 "
47-2081,Drywall and Ceiling Tile Installers," 79,950 ",17.89," 37,210 "
47-2082,Tapers," 16,120 ",21.10," 43,890 "
47-2111,Electricians," 542,680 ",24.28," 50,510 "
47-2121,Glaziers," 44,050 ",18.08," 37,600 "
47-2131,"Insulation Workers, Floor, Ceiling, and Wall"," 23,850 ",15.81," 32,890 "
47-2132,"Insulation Workers, Mechanical"," 27,740 ",19.47," 40,500 "
47-2141,"Painters, Construction and Maintenance"," 192,890 ",17.01," 35,390 "
47-2142,Paperhangers," 3,460 ",16.19," 33,670 "
47-2151,Pipelayers," 41,080 ",17.44," 36,280 "
47-2152,"Plumbers, Pipefitters, and Steamfitters"," 351,380 ",24.13," 50,180 "
47-2161,Plasterers and Stucco Masons," 20,600 ",17.64," 36,680 "
47-2171,Reinforcing Iron and Rebar Workers," 17,280 ",24.52," 51,010 "
47-2181,Roofers," 99,060 ",17.08," 35,520 "
47-2211,Sheet Metal Workers," 134,110 ",21.10," 43,890 "
47-2221,Structural Iron and Steel Workers," 57,480 ",22.36," 46,520 "
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"," 24,280 ",13.59," 28,260 "
47-3012,Helpers--Carpenters," 37,400 ",12.54," 26,090 "
47-3013,Helpers--Electricians," 63,660 ",13.32," 27,720 "
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"," 11,640 ",11.97," 24,900 "
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"," 47,160 ",13.19," 27,430 "
47-3016,Helpers--Roofers," 13,130 ",11.69," 24,320 "
47-4011,Construction and Building Inspectors," 87,620 ",26.18," 54,450 "
47-4021,Elevator Installers and Repairers," 21,270 ",37.81," 78,640 "
47-4031,Fence Erectors," 19,960 ",15.02," 31,240 "
47-4041,Hazardous Materials Removal Workers," 40,290 ",18.23," 37,930 "
47-4051,Highway Maintenance Workers," 139,070 ",17.25," 35,870 "
47-4061,Rail-Track Laying and Maintenance Equipment Operators," 15,590 ",22.25," 46,270 "
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners," 24,030 ",16.60," 34,520 "
47-4091,Segmental Pavers," 1,110 ",15.77," 32,800 "
47-5011,"Derrick Operators, Oil and Gas"," 22,400 ",22.64," 47,090 "
47-5012,"Rotary Drill Operators, Oil and Gas"," 27,130 ",24.79," 51,570 "
47-5013,"Service Unit Operators, Oil, Gas, and Mining"," 59,260 ",20.57," 42,790 "
47-5021,"Earth Drillers, Except Oil and Gas"," 17,620 ",20.48," 42,600 "
47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters"," 6,540 ",23.69," 49,270 "
47-5041,Continuous Mining Machine Operators," 12,180 ",24.43," 50,820 "
47-5042,Mine Cutting and Channeling Machine Operators," 6,850 ",23.96," 49,840 "
47-5051,"Rock Splitters, Quarry"," 4,130 ",15.77," 32,790 "
47-5061,"Roof Bolters, Mining"," 5,880 ",26.34," 54,780 "
47-5071,"Roustabouts, Oil and Gas"," 68,230 ",16.62," 34,560 "
47-5081,Helpers--Extraction Workers," 23,020 ",16.30," 33,910 "
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers"," 428,620 ",29.43," 61,220 "
49-2011,"Computer, Automated Teller, and Office Machine Repairers"," 110,850 ",17.50," 36,390 "
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers"," 14,090 ",22.24," 46,260 "
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers"," 209,350 ",26.32," 54,760 "
49-2091,Avionics Technicians," 17,310 ",26.92," 55,990 "
49-2092,"Electric Motor, Power Tool, and Related Repairers"," 18,490 ",18.28," 38,030 "
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment"," 15,340 ",25.40," 52,830 "
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"," 67,410 ",25.67," 53,400 "
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"," 23,210 ",33.52," 69,720 "
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles"," 11,900 ",15.02," 31,230 "
49-2097,Electronic Home Entertainment Equipment Installers and Repairers," 26,960 ",17.15," 35,660 "
49-2098,Security and Fire Alarm Systems Installers," 55,300 ",20.19," 42,000 "
49-3011,Aircraft Mechanics and Service Technicians," 115,410 ",26.91," 55,980 "
49-3021,Automotive Body and Related Repairers," 134,650 ",18.68," 38,850 "
49-3022,Automotive Glass Installers and Repairers," 15,910 ",15.54," 32,310 "
49-3023,Automotive Service Technicians and Mechanics," 604,990 ",17.65," 36,710 "
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists," 238,150 ",20.54," 42,730 "
49-3041,Farm Equipment Mechanics and Service Technicians," 34,840 ",17.05," 35,470 "
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines"," 116,590 ",22.53," 46,870 "
49-3043,Rail Car Repairers," 19,290 ",24.33," 50,600 "
49-3051,Motorboat Mechanics and Service Technicians," 19,650 ",17.35," 36,090 "
49-3052,Motorcycle Mechanics," 14,960 ",16.15," 33,590 "
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics," 28,250 ",14.68," 30,540 "
49-3091,Bicycle Repairers," 10,450 ",12.22," 25,420 "
49-3092,Recreational Vehicle Service Technicians," 11,200 ",16.89," 35,140 "
49-3093,Tire Repairers and Changers," 99,370 ",11.34," 23,590 "
49-9011,Mechanical Door Repairers," 17,050 ",17.63," 36,670 "
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door"," 40,940 ",25.47," 52,980 "
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"," 251,700 ",21.10," 43,880 "
49-9031,Home Appliance Repairers," 32,920 ",16.90," 35,150 "
49-9041,Industrial Machinery Mechanics," 306,860 ",23.03," 47,910 "
49-9043,"Maintenance Workers, Machinery"," 89,510 ",20.00," 41,600 "
49-9044,Millwrights," 38,680 ",24.05," 50,030 "
49-9045,"Refractory Materials Repairers, Except Brickmasons"," 1,750 ",20.78," 43,220 "
49-9051,Electrical Power-Line Installers and Repairers," 111,350 ",30.85," 64,170 "
49-9052,Telecommunications Line Installers and Repairers," 120,050 ",25.30," 52,630 "
49-9061,Camera and Photographic Equipment Repairers," 3,180 ",17.99," 37,430 "
49-9062,Medical Equipment Repairers," 40,090 ",21.24," 44,180 "
49-9063,Musical Instrument Repairers and Tuners," 7,240 ",15.26," 31,750 "
49-9064,Watch Repairers," 2,840 ",17.05," 35,460 "
49-9071,"Maintenance and Repair Workers, General"," 1,249,080 ",17.14," 35,640 "
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers"," 33,250 ",15.16," 31,530 "
49-9092,Commercial Divers," 3,600 ",23.04," 47,930 "
49-9093,"Fabric Menders, Except Garment", 800 ,12.24," 25,460 "
49-9094,Locksmiths and Safe Repairers," 17,400 ",18.25," 37,950 "
49-9095,Manufactured Building and Mobile Home Installers," 3,510 ",13.91," 28,940 "
49-9096,Riggers," 17,330 ",20.32," 42,270 "
49-9097,Signal and Track Switch Repairers," 7,960 ",26.75," 55,640 "
49-9098,"Helpers--Installation, Maintenance, and Repair Workers"," 127,820 ",11.78," 24,500 "
51-1011,First-Line Supervisors of Production and Operating Workers," 580,620 ",26.29," 54,690 "
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"," 42,810 ",22.76," 47,330 "
51-2021,"Coil Winders, Tapers, and Finishers"," 14,590 ",15.09," 31,380 "
51-2022,Electrical and Electronic Equipment Assemblers," 203,880 ",14.01," 29,130 "
51-2023,Electromechanical Equipment Assemblers," 49,480 ",15.29," 31,810 "
51-2031,Engine and Other Machine Assemblers," 39,620 ",17.93," 37,300 "
51-2041,Structural Metal Fabricators and Fitters," 77,860 ",17.49," 36,370 "
51-2091,Fiberglass Laminators and Fabricators," 18,800 ",13.68," 28,450 "
51-2092,Team Assemblers," 1,058,100 ",13.54," 28,170 "
51-2093,Timing Device Assemblers and Adjusters," 1,460 ",13.04," 27,130 "
51-3011,Bakers," 165,270 ",11.13," 23,160 "
51-3021,Butchers and Meat Cutters," 138,900 ",13.63," 28,360 "
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers"," 160,920 ",11.12," 23,120 "
51-3023,Slaughterers and Meat Packers," 82,070 ",12.01," 24,980 "
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"," 18,750 ",13.37," 27,800 "
51-3092,Food Batchmakers," 109,660 ",12.77," 26,560 "
51-3093,Food Cooking Machine Operators and Tenders," 34,040 ",12.86," 26,750 "
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic"," 139,930 ",17.26," 35,900 "
51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic"," 24,340 ",22.36," 46,510 "
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"," 73,140 ",15.51," 32,270 "
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"," 22,570 ",16.14," 33,570 "
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"," 32,550 ",17.80," 37,030 "
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"," 187,640 ",14.40," 29,950 "
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"," 19,880 ",16.48," 34,270 "
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"," 70,910 ",15.49," 32,220 "
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"," 41,730 ",17.18," 35,740 "
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"," 23,850 ",17.21," 35,790 "
51-4041,Machinists," 391,130 ",19.03," 39,570 "
51-4051,Metal-Refining Furnace Operators and Tenders," 21,930 ",19.49," 40,540 "
51-4052,"Pourers and Casters, Metal"," 10,320 ",16.15," 33,600 "
51-4061,"Model Makers, Metal and Plastic"," 6,200 ",22.15," 46,080 "
51-4062,"Patternmakers, Metal and Plastic"," 4,160 ",20.10," 41,820 "
51-4071,Foundry Mold and Coremakers," 13,100 ",14.59," 30,340 "
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"," 124,810 ",13.68," 28,450 "
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"," 93,100 ",16.50," 34,330 "
51-4111,Tool and Die Makers," 78,700 ",23.06," 47,960 "
51-4121,"Welders, Cutters, Solderers, and Brazers"," 352,250 ",17.66," 36,720 "
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"," 50,860 ",16.54," 34,410 "
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"," 21,500 ",16.66," 34,660 "
51-4192,"Layout Workers, Metal and Plastic"," 13,420 ",20.69," 43,040 "
51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"," 36,120 ",14.49," 30,140 "
51-4194,"Tool Grinders, Filers, and Sharpeners"," 11,540 ",16.50," 34,310 "
51-5111,Prepress Technicians and Workers," 38,000 ",18.00," 37,440 "
51-5112,Printing Press Operators," 166,620 ",16.79," 34,920 "
51-5113,Print Binding and Finishing Workers," 52,000 ",14.18," 29,480 "
51-6011,Laundry and Dry-Cleaning Workers," 197,650 ",9.66," 20,090 "
51-6021,"Pressers, Textile, Garment, and Related Materials"," 51,520 ",9.55," 19,860 "
51-6031,Sewing Machine Operators," 143,370 ",10.33," 21,490 "
51-6041,Shoe and Leather Workers and Repairers," 6,460 ",12.03," 25,030 "
51-6042,Shoe Machine Operators and Tenders," 4,300 ",11.12," 23,120 "
51-6051,"Sewers, Hand"," 5,700 ",11.35," 23,610 "
51-6052,"Tailors, Dressmakers, and Custom Sewers"," 21,400 ",12.30," 25,590 "
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders," 11,680 ",11.78," 24,500 "
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders"," 15,160 ",12.00," 24,960 "
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"," 22,200 ",12.91," 26,850 "
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"," 26,020 ",12.43," 25,860 "
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"," 18,890 ",15.27," 31,760 "
51-6092,Fabric and Apparel Patternmakers," 6,060 ",19.29," 40,130 "
51-6093,Upholsterers," 28,790 ",14.78," 30,750 "
51-7011,Cabinetmakers and Bench Carpenters," 82,770 ",14.96," 31,110 "
51-7021,Furniture Finishers," 14,470 ",13.69," 28,470 "
51-7031,"Model Makers, Wood"," 1,240 ",14.63," 30,430 "
51-7032,"Patternmakers, Wood", 870 ,17.89," 37,210 "
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood"," 42,210 ",12.79," 26,600 "
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"," 66,540 ",13.13," 27,300 "
51-8011,Nuclear Power Reactor Operators," 7,790 ",37.67," 78,350 "
51-8012,Power Distributors and Dispatchers," 11,260 ",36.10," 75,080 "
51-8013,Power Plant Operators," 39,810 ",32.74," 68,100 "
51-8021,Stationary Engineers and Boiler Operators," 35,960 ",26.26," 54,630 "
51-8031,Water and Wastewater Treatment Plant and System Operators," 110,230 ",20.77," 43,200 "
51-8091,Chemical Plant and System Operators," 38,890 ",26.31," 54,730 "
51-8092,Gas Plant Operators," 13,890 ",30.62," 63,680 "
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"," 41,390 ",29.77," 61,930 "
51-8099,"Plant and System Operators, All Other"," 11,390 ",26.19," 54,470 "
51-9011,Chemical Equipment Operators and Tenders," 60,450 ",22.95," 47,730 "
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"," 42,510 ",18.43," 38,330 "
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"," 30,580 ",15.52," 32,280 "
51-9022,"Grinding and Polishing Workers, Hand"," 31,240 ",13.38," 27,830 "
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders"," 117,390 ",16.32," 33,960 "
51-9031,"Cutters and Trimmers, Hand"," 13,800 ",12.19," 25,360 "
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders"," 59,450 ",15.29," 31,810 "
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"," 69,740 ",15.27," 31,760 "
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"," 19,840 ",17.05," 35,450 "
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"," 471,750 ",16.80," 34,940 "
51-9071,Jewelers and Precious Stone and Metal Workers," 22,890 ",17.08," 35,520 "
51-9081,Dental Laboratory Technicians," 36,790 ",17.52," 36,440 "
51-9082,Medical Appliance Technicians," 13,320 ",17.09," 35,540 "
51-9083,Ophthalmic Laboratory Technicians," 28,760 ",13.96," 29,030 "
51-9111,Packaging and Filling Machine Operators and Tenders," 372,210 ",12.65," 26,310 "
51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"," 87,070 ",14.88," 30,940 "
51-9122,"Painters, Transportation Equipment"," 46,770 ",19.05," 39,610 "
51-9123,"Painting, Coating, and Decorating Workers"," 15,930 ",13.64," 28,370 "
51-9141,Semiconductor Processors," 22,750 ",16.32," 33,950 "
51-9151,Photographic Process Workers and Processing Machine Operators," 37,130 ",11.46," 23,840 "
51-9191,Adhesive Bonding Machine Operators and Tenders," 18,280 ",14.68," 30,530 "
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"," 16,460 ",12.73," 26,480 "
51-9193,Cooling and Freezing Equipment Operators and Tenders," 7,660 ",13.31," 27,680 "
51-9194,Etchers and Engravers," 8,570 ",13.70," 28,510 "
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic"," 32,920 ",14.32," 29,790 "
51-9196,"Paper Goods Machine Setters, Operators, and Tenders"," 94,910 ",16.73," 34,790 "
51-9197,Tire Builders," 17,570 ",19.09," 39,710 "
51-9198,Helpers--Production Workers," 426,670 ",11.13," 23,160 "
53-1011,Aircraft Cargo Handling Supervisors," 6,270 ",21.56," 44,840 "
53-1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"," 167,190 ",21.99," 45,750 "
53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators," 197,800 ",25.68," 53,420 "
53-2011,"Airline Pilots, Copilots, and Flight Engineers"," 73,030 ",*," 115,190 "
53-2012,Commercial Pilots," 37,340 ",*," 74,470 "
53-2021,Air Traffic Controllers," 23,060 ",58.31," 121,280 "
53-2022,Airfield Operations Specialists," 7,250 ",23.71," 49,320 "
53-2031,Flight Attendants," 93,550 ",*," 40,520 "
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"," 18,380 ",11.35," 23,610 "
53-3021,"Bus Drivers, Transit and Intercity"," 157,830 ",17.64," 36,700 "
53-3022,"Bus Drivers, School or Special Client"," 496,110 ",13.62," 28,330 "
53-3031,Driver/Sales Workers," 396,470 ",10.92," 22,720 "
53-3032,Heavy and Tractor-Trailer Truck Drivers," 1,585,300 ",18.61," 38,700 "
53-3033,Light Truck or Delivery Services Drivers," 776,930 ",14.02," 29,170 "
53-3041,Taxi Drivers and Chauffeurs," 170,030 ",10.98," 22,840 "
53-4011,Locomotive Engineers," 36,860 ",25.63," 53,310 "
53-4012,Locomotive Firers," 1,880 ",21.59," 44,910 "
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers"," 5,140 ",20.33," 42,280 "
53-4021,"Railroad Brake, Signal, and Switch Operators"," 23,950 ",24.44," 50,840 "
53-4031,Railroad Conductors and Yardmasters," 43,100 ",26.95," 56,060 "
53-4041,Subway and Streetcar Operators," 8,930 ",30.60," 63,660 "
53-5011,Sailors and Marine Oilers," 28,810 ",18.73," 38,960 "
53-5021,"Captains, Mates, and Pilots of Water Vessels"," 30,290 ",33.62," 69,920 "
53-5022,Motorboat Operators," 3,400 ",15.17," 31,550 "
53-5031,Ship Engineers," 9,930 ",33.49," 69,660 "
53-6011,Bridge and Lock Tenders," 3,170 ",22.29," 46,360 "
53-6021,Parking Lot Attendants," 130,190 ",9.38," 19,500 "
53-6031,Automotive and Watercraft Service Attendants," 112,970 ",9.84," 20,470 "
53-6041,Traffic Technicians," 6,220 ",19.15," 39,830 "
53-6051,Transportation Inspectors," 23,970 ",31.71," 65,950 "
53-6061,"Transportation Attendants, Except Flight Attendants"," 21,280 ",11.27," 23,450 "
53-7011,Conveyor Operators and Tenders," 40,760 ",14.70," 30,580 "
53-7021,Crane and Tower Operators," 41,580 ",23.38," 48,630 "
53-7031,Dredge Operators," 1,750 ",19.04," 39,590 "
53-7032,Excavating and Loading Machine and Dragline Operators," 44,780 ",18.70," 38,900 "
53-7033,"Loading Machine Operators, Underground Mining"," 3,180 ",24.35," 50,640 "
53-7041,Hoist and Winch Operators," 2,980 ",18.62," 38,730 "
53-7051,Industrial Truck and Tractor Operators," 504,560 ",14.77," 30,730 "
53-7061,Cleaners of Vehicles and Equipment," 311,940 ",9.72," 20,230 "
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand"," 2,284,650 ",11.52," 23,970 "
53-7063,Machine Feeders and Offbearers," 106,160 ",13.61," 28,310 "
53-7064,"Packers and Packagers, Hand"," 672,020 ",9.60," 19,970 "
53-7071,Gas Compressor and Gas Pumping Station Operators," 4,520 ",26.16," 54,420 "
53-7072,"Pump Operators, Except Wellhead Pumpers"," 13,170 ",20.80," 43,270 "
53-7073,Wellhead Pumpers," 13,410 ",22.10," 45,960 "
53-7081,Refuse and Recyclable Material Collectors," 116,460 ",15.73," 32,720 "
53-7111,Mine Shuttle Car Operators," 2,730 ",25.49," 53,020 "
53-7121,"Tank Car, Truck, and Ship Loaders"," 12,560 ",20.33," 42,280 "
